game_date,game_opponent,game_time,game_date_time
2/24/18,Kansas City,1:05 PM,2018-02-24 1:05 PM
10/3/18,Atlanta,5:37 PM,2018-10-03 5:37 PM
10/4/18,Atlanta,6:37 PM,2018-10-04 6:37 PM
10/6/2018,at Atlanta,5:07 PM,2018-10-06 5:07 PM
10/12/2018,at Milwaukee,5:09 PM,2018-10-12 5:09 PM
10/13/2018,at Milwaukee,1:09 PM,2018-10-13 1:09 PM
10/15/2018,Milwaukee,4:39 PM,2018-10-15 4:39 PM
10/16/2018,Milwaukee,6:09 PM,2018-10-16 6:09 PM
10/17/2018,Milwaukee,2:05 PM,2018-10-17 2:05 PM
10/19/2018,at Milwaukee,5:09 PM,2018-10-19 5:09 PM
10/20/2018,at Milwaukee,5:09 PM,2018-10-20 5:09 PM
10/23/2018,at Boston,5:09 PM,2018-10-23 5:09 PM
10/24/2018,at Boston,5:09 PM,2018-10-24 5:09 PM
10/26/2018,Boston,5:09 PM,2018-10-26 5:09 PM
10/27/2018,Boston,5:09 PM,2018-10-27 5:09 PM
