game_date,game_opponent,game_time,game_date_time
2/12/18,Test,7:10 PM,2018-02-12 7:20 PM
2/23/18,Chicago (AL),1:05 PM,2018-02-23 1:05 PM
2/24/18,San Francisco,1:05 PM,2018-02-24 1:05 PM
2/24/18,Kansas City,1:05 PM,2018-02-24 1:05 PM
2/25/18,Mariners,1:10 PM,2018-02-25 1:10 PM
2/26/18,Texes,12:05 PM,2018-02-26 1:05 PM
2/27/18,Texas,12:05 PM,2018-02-27 1:05 PM
2/28/18,San Diego,12:10 PM,2018-02-28 1:10 PM
3/1/18,Cleveland,12:05 PM,2018-03-01 1:05 PM
3/2/18,Chicago (AL),12:05 PM,2018-03-02 1:05 PM
3/3/18,Arizona,12:05 PM,2018-03-03 12:05 PM
3/4/18,San Francisco,12:05 PM,2018-03-04 12:05 PM
3/5/18,Cleveland,12:05 PM,2018-03-05 12:05 PM
3/6/18,Chicago (NL),12:05 PM,2018-03-06 12:05 PM
3/7/18,Anahiem,12:10 PM,2018-03-07 12:10 PM
3/8/18,Cleveland,5:05 PM,2018-03-08 5:05 PM
3/9/18,Kansas City,12:05 PM,2018-03-09 12:05 PM
3/10/18,Chicago (NL),6:05 PM,2018-03-10 6:05 PM
3/11/18,Colorado,1:10 PM,2018-03-11 1:10 PM
3/12/18,Milwaukee,1:05 PM,2018-03-12 1:05 PM
3/14/18,Colorado,7:05 PM,2018-03-14 7:05 PM
3/15/18,Kansas City,1:05 PM,2018-03-15 1:05 PM
3/16/18,Arizona,1:10 PM,2018-03-16 1:10 PM
3/17/18,Chicago (AL),1:05 PM,2018-03-17 1:05 PM
3/18/18,San Diego,1:05 PM,2018-03-18 1:05 PM
3/18/18,Milwaukee,1:05 PM,2018-03-18 1:05 PM
3/19/18,Oakland,7:05 PM,2018-03-19 7:05 PM
3/20/18,Oakland,1:05 PM,2018-03-20 1:05 PM
3/22/18,Anahiem,7:05 PM,2018-03-22 7:05 PM
3/23/18,Kansas City,1:05 PM,2018-03-23 1:05 PM
3/24/18,Chicago (AL),12:05 PM,2018-03-24 12:05 PM
3/26/18,Anahiem,7:10 PM,2018-03-26 7:10 PM
3/27/18,Anahiem,7:10 PM,2018-03-27 7:10 PM
3/29/18,San Francisco,4:00 PM,2018-03-29 4:00 PM
3/30/18,San Francisco,7:10 PM,2018-03-30 7:10 PM
3/31/18,San Francisco,6:10 PM,2018-03-31 6:10 PM
4/1/18,San Francisco,5:30 PM,2018-04-01 5:30 PM
4/2/18,at Arizona,6:40 PM,2018-04-02 6:40 PM
4/3/18,at Arizona,6:40 PM,2018-04-03 6:40 PM
4/4/18,at Arizona,12:40 PM,2018-04-04 12:40 PM
4/6/18,at San Francisco,7:15 PM,2018-04-06 7:15 PM
4/7/18,at San Francisco,9:00 PM,2018-04-07 9:00 PM
4/8/18,at San Francisco,1:05 PM,2018-04-08 1:05 PM
4/10/18,Oakland,7:10 PM,2018-04-10 7:10 PM
4/11/18,Oakland,7:10 PM,2018-04-11 7:10 PM
4/13/18,Arizona,7:10 PM,2018-04-13 7:10 PM
4/14/18,Arizona,6:10 PM,2018-04-14 6:10 PM
4/15/18,Arizona,1:10 PM,2018-04-15 1:10 PM
4/16/18,at San Diego,7:10 PM,2018-04-16 7:10 PM
4/17/18,at San Diego,7:10 PM,2018-04-17 7:10 PM
4/18/18,at San Diego,7:10 PM,2018-04-18 7:10 PM
4/20/18,Washington,7:10 PM,2018-04-20 7:10 PM
4/21/18,Washington,6:10 PM,2018-04-21 6:10 PM
4/22/18,Washington,5:00 PM,2018-04-22 5:00 PM
4/23/18,Miami,7:10 PM,2018-04-23 7:10 PM
4/24/18,Miami,7:10 PM,2018-04-24 7:10 PM
4/25/18,Miami,4:15 PM,2018-04-25 4:15 PM
4/27/18,at San Francisco,7:15 PM,2018-04-27 7:15 PM
4/28/18,at San Francisco,9:00 PM,2018-04-28 9:00 PM
4/29/18,at San Francisco,1:05 PM,2018-04-29 2:05 PM
4/30/18,at Arizona,6:40 PM,2018-04-30 6:40 PM
5/1/18,at Arizona,6:40 PM,2018-05-01 6:40 PM
5/2/18,at Arizona,6:40 PM,2018-05-02 6:40 PM
5/3/18,at Arizona,12:40 PM,2018-05-03 12:40 PM
5/4/18,at San Diego,9:00 PM,2018-05-04 9:00 PM
5/5/18,at San Diego,4:10 PM,2018-05-05 4:10 PM
5/6/18,at San Diego,a:10 PM,2018-05-06 1:10 PM
5/8/18,Arizona,7:10 PM,2018-05-08 7:10 PM
5/9/18,Arizona,7:10 PM,2018-05-09 7:10 PM
5/10/18,Cincinnati,7:10 PM,2018-05-10 7:10 PM
5/11/18,Cincinnati,7:10 PM,2018-05-11 7:10 PM
5/12/18,Cincinnati,6:10 PM,2018-05-12 6:10 PM
5/13/18,Cincinnati,1:10 PM,2018-05-13 1:10 PM
5/15/18,at Miami,4:10 PM,2018-05-15 4:10 PM
5/16/18,at Miami,4:10 PM,2018-05-16 4:10 PM
5/17/18,at Miami,9:10 AM,2018-05-17 9:10 AM
5/18/18,at Washington,4:05 PM,2018-05-18 4:05 PM
5/19/18,at Washington,4:05 PM,2018-05-19 4:05 PM
5/20/18,at Washington,10:35 AM,2018-05-20 10:35 AM
5/21/18,Colorado,7:10 PM,2018-05-21 7:10 PM
5/22/18,Colorado,7:10 PM,2018-05-22 7:10 PM
5/23/18,Colorado,7:10 PM,2018-05-23 7:10 PM
5/25/18,San Diego,7:10 PM,2018-05-25 7:10 PM
5/26/18,San Diego,7:10 PM,2018-05-26 7:10 PM
5/27/18,San Diego,1:10 PM,2018-05-27 1:10 PM
5/28/18,Philadelphia,5:10 PM,2018-05-28 5:10 PM
5/29/18,Philadelphia,7:10 PM,2018-05-29 7:10 PM
5/30/18,Philadelphia,7:10 PM,2018-05-30 7:10 PM
5/31/18,Philadelphia,9:00 AM,2018-05-31 9:00 AM
6/1/18,at Colorado,5:40 PM,2018-06-01 5:40 PM
6/2/18,at Colorado,4:15 PM,2018-06-02 4:15 PM
6/3/18,at Colorado,12:10 PM,2018-06-03 12:10 PM
6/5/18,at Pittsburgh,4:05 PM,2018-06-05 4:05 PM
6/6/18,at Pittsburgh,4:05 PM,2018-06-06 4:05 PM
6/7/18,at Pittsburgh,9:35 PM,2018-06-07 9:35 PM
6/8/18,Atlanta,7:10 PM,2018-06-08 7:10 PM
6/9/18,Atlanta,6:10 PM,2018-06-09 6:10 PM
6/10/18,Atlanta,1:10 PM,2018-06-10 1:10 PM
6/12/18,Texas,7:10 PM,2018-06-12 7:10 PM
6/13/18,Texas,7:10 PM,2018-06-13 7:10 PM
6/15/18,San Francisco,7:10 PM,2018-06-15 7:10 PM
6/16/18,San Francisco,5:15 PM,2018-06-16 5:15 PM
6/17/18,San Francisco,1:10 PM,2018-06-17 1:10 PM
6/18/18,at Chicago Cubs,5:05 PM,2018-06-18 5:05 PM
6/19/18,at Chicago Cubs,5:05 PM,2018-06-19 5:05 PM
6/20/18,at Chicago Cubs,11:20 AM,2018-06-20 11:20 AM
6/22/18,at NY Mets,4:10 PM,2018-06-22 4:10 PM
6/23/18,at NY Mets,4:15 PM,2018-06-23 4:15 PM
6/24/18,at NY Mets,10:10 AM,2018-06-24 10:10 AM
6/25/18,Chicago Cubs,7:10 PM,2018-06-25 7:10 PM
6/26/18,Chicago Cubs,7:10 PM,2018-06-26 7:10 PM
6/27/18,Chicago Cubs,7:10 PM,2018-06-27 7:10 PM
6/28/18,Chicago Cubs,12:10 PM,2018-06-28 12:10 PM
6/29/18,Colorado,7:10 PM,2018-06-29 7:10 PM
6/30/18,Colorado,4:15 PM,2018-06-30 4:15 PM
7/1/18,Colorado,1:10 PM,2018-07-01 1:10 PM
7/2/18,Pittsburgh,7:10 PM,2018-07-02 7:10 PM
